Times,Short strategy,Single_ profit_and_loss,Cumulative_ profit_and_loss
0,B1,0,0
1,,-24,-24
2,,-24,-48
3,,2568,2520
4,,3483,6003
5,,468,6471
6,,3,6474
7,,534,7008
8,,-1,7007
9,,1135,8142
10,,-242,7900
11,,-840,7060
12,,-606,6454
